gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Recency,Frequency,Monetary,Segment,churn_prob,Risk,Value,Action
Female,0,No,No,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,30,3,1530.6,3,0.1771696691567204,Low Risk,Low Value,General engagement
Male,0,Yes,Yes,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Electronic check,99.35,4749.15,1,47,5,4749.15,1,0.3059329515498945,Medium Risk,Medium Value,General engagement
Male,0,Yes,Yes,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,No,Electronic check,30.2,30.2,1,1,1,30.2,2,0.21512336906073923,Medium Risk,Low Value,General engagement
Male,0,Yes,No,72,1,1,DSL,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),90.25,6369.45,0,72,8,6369.45,1,0.05897941310151076,Low Risk,High Value,Reward: Loyalty perks / premium features
Female,0,No,Yes,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,Yes,Mailed check,64.7,1093.1,1,17,3,1093.1,3,0.17552036675704577,Low Risk,Low Value,General engagement
Female,1,Yes,No,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,Yes,Credit card (automatic),96.35,6766.95,0,71,6,6766.95,1,0.12371489290040205,Low Risk,High Value,Reward: Loyalty perks / premium features
Male,1,Yes,No,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,2,4,181.65,3,0.33434399736453563,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,27,1,0,DSL,1,1,1,1,0,0,One year,No,Mailed check,66.15,1874.45,0,27,5,1874.45,3,0.19679058920550205,Low Risk,Low Value,General engagement
Male,0,No,No,1,1,0,No,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,1,1,20.2,2,0.21988270532724508,Medium Risk,Low Value,General engagement
Male,1,No,No,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,1,1,45.25,2,0.2581327620898626,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,No,Bank transfer (automatic),99.9,7251.7,0,72,6,7251.7,1,0.10985290256152634,Low Risk,High Value,Reward: Loyalty perks / premium features
Male,0,No,No,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,69.7,316.9,1,5,1,316.9,2,0.273349181744,Medium Risk,Low Value,General engagement
Female,0,No,No,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,46,2,3548.3,0,0.25280626561066627,Medium Risk,Medium Value,General engagement
Male,0,No,No,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,106.35,3549.25,1,34,6,3549.25,3,0.35914753791936804,Medium Risk,Medium Value,General engagement
Female,0,No,No,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,11,5,1105.4,3,0.35575362722886456,Medium Risk,Low Value,General engagement
Male,0,Yes,Yes,10,1,0,DSL,0,1,0,0,0,0,One year,No,Mailed check,49.55,475.7,0,10,2,475.7,2,0.1771982174030633,Low Risk,Low Value,General engagement
Female,0,Yes,Yes,70,1,1,DSL,1,1,0,0,1,0,Two year,Yes,Credit card (automatic),69.2,4872.35,0,70,5,4872.35,1,0.03491312099219399,Low Risk,Medium Value,General engagement
Female,0,Yes,Yes,17,1,0,No,0,0,0,0,0,0,One year,No,Mailed check,20.75,418.25,0,17,1,418.25,2,0.1099816367450572,Low Risk,Low Value,General engagement
Female,0,No,No,63,1,1,DSL,1,1,1,1,1,0,Two year,Yes,Credit card (automatic),79.85,4861.45,0,63,7,4861.45,1,0.0624325188733396,Low Risk,Medium Value,General engagement
Female,0,Yes,No,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,Yes,Electronic check,76.2,981.45,0,13,6,981.45,3,0.17765494427966363,Low Risk,Low Value,General engagement
Female,0,No,No,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,84.5,3906.7,0,49,3,3906.7,0,0.3181193993396867,Medium Risk,Medium Value,General engagement
Male,0,No,No,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,No,Mailed check,49.25,97.0,0,2,2,97.0,2,0.1813121814407754,Low Risk,Low Value,General engagement
Female,0,No,No,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,80.65,144.15,1,2,2,144.15,2,0.3249193075135415,Medium Risk,Low Value,General engagement
Male,0,No,No,52,1,1,DSL,1,0,0,1,1,1,Two year,Yes,Credit card (automatic),79.75,4217.8,0,52,6,4217.8,1,0.07687964621813329,Low Risk,Medium Value,General engagement
Female,0,Yes,Yes,69,1,1,DSL,1,0,1,1,0,0,Two year,Yes,Credit card (automatic),64.15,4254.1,0,69,5,4254.1,1,0.055461932332445736,Low Risk,Medium Value,General engagement
Female,1,No,No,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Electronic check,90.25,3838.75,0,43,4,3838.75,3,0.35196634187991693,Medium Risk,Medium Value,General engagement
Female,0,No,No,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,15,5,1426.4,3,0.3396577451555213,Medium Risk,Low Value,General engagement
Female,1,Yes,No,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,25,5,1752.65,3,0.21453755419005924,Medium Risk,Low Value,General engagement
Female,1,Yes,No,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,8,3,633.3,2,0.3171029227026312,Medium Risk,Low Value,General engagement
Female,1,Yes,Yes,60,1,0,DSL,1,1,1,1,0,1,One year,Yes,Credit card (automatic),74.85,4456.35,0,60,6,4456.35,1,0.28151605225393,Medium Risk,Medium Value,General engagement
Male,1,No,No,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,95.45,1752.55,1,18,4,1752.55,3,0.3268062176768031,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,63,1,1,Fiber optic,1,0,0,0,1,1,One year,Yes,Credit card (automatic),99.65,6311.2,0,63,5,6311.2,1,0.36923432890893637,Medium Risk,High Value,Engage: Notifications + feature updates
Male,1,Yes,Yes,66,1,1,Fiber optic,0,1,1,1,1,1,One year,Yes,Electronic check,108.45,7076.35,0,66,7,7076.35,1,0.3620227035769756,Medium Risk,High Value,Engage: Notifications + feature updates
Female,0,Yes,Yes,34,1,1,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),24.95,894.3,0,34,2,894.3,0,0.0568980466752357,Low Risk,Low Value,General engagement
Female,0,No,No,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,Yes,Credit card (automatic),107.5,7853.7,0,72,6,7853.7,1,0.1681694131159527,Low Risk,High Value,Reward: Loyalty perks / premium features
Female,0,Yes,No,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,100.5,4707.1,0,47,5,4707.1,1,0.3148649190344354,Medium Risk,Medium Value,General engagement
Male,0,No,No,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,60,4,5450.7,1,0.3375237790969915,Medium Risk,High Value,Engage: Notifications + feature updates
Male,0,Yes,No,72,0,0,DSL,1,1,1,0,0,0,Two year,No,Bank transfer (automatic),42.1,2962.0,0,72,3,2962.0,0,0.0371214237797377,Low Risk,Medium Value,General engagement
Female,0,Yes,Yes,18,1,0,DSL,0,0,1,1,0,0,One year,Yes,Credit card (automatic),54.4,957.1,0,18,3,957.1,3,0.19852075478771514,Low Risk,Low Value,General engagement
Female,0,No,No,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,No,Electronic check,94.4,857.25,1,9,4,857.25,3,0.33041642798063947,Medium Risk,Low Value,General engagement
Female,0,No,No,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,Yes,Electronic check,75.3,244.1,0,3,5,244.1,3,0.21678100965515967,Medium Risk,Low Value,General engagement
Male,0,Yes,No,47,1,1,Fiber optic,0,1,0,0,0,0,One year,Yes,Electronic check,78.9,3650.35,0,47,3,3650.35,0,0.36955646871006465,Medium Risk,Medium Value,General engagement
Female,0,No,No,31,1,0,DSL,0,1,1,1,1,1,Two year,No,Mailed check,79.2,2497.2,0,31,6,2497.2,3,0.06263655423838366,Low Risk,Medium Value,General engagement
Female,0,Yes,Yes,50,1,0,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.15,930.9,0,50,1,930.9,0,0.07588178727856096,Low Risk,Low Value,General engagement
Male,0,No,No,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,Yes,Mailed check,79.85,887.35,0,10,3,887.35,2,0.2777673338813205,Medium Risk,Low Value,General engagement
Male,0,No,No,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,No,Mailed check,49.05,49.05,0,1,2,49.05,2,0.2098784128512708,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,52,1,0,No,0,0,0,0,0,0,One year,Yes,Electronic check,20.4,1090.65,0,52,1,1090.65,0,0.13544417337958775,Low Risk,Low Value,General engagement
Male,1,Yes,Yes,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,64,7,7099.0,1,0.13201157615150774,Low Risk,High Value,Reward: Loyalty perks / premium features
Male,0,Yes,Yes,62,1,1,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,62,2,1424.6,0,0.06214590472930821,Low Risk,Low Value,General engagement
Female,0,No,Yes,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,3,4,177.4,3,0.205311451717428,Medium Risk,Low Value,General engagement
Female,1,No,No,56,1,1,Fiber optic,1,1,1,0,1,1,One year,No,Electronic check,110.5,6139.5,0,56,7,6139.5,1,0.39406768876056913,Medium Risk,High Value,Engage: Notifications + feature updates
Female,0,No,No,46,1,0,DSL,0,0,0,0,0,1,One year,No,Credit card (automatic),55.65,2688.85,0,46,2,2688.85,0,0.29189689110760325,Medium Risk,Medium Value,General engagement
Female,0,Yes,Yes,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,No,Mailed check,54.65,482.25,0,8,3,482.25,2,0.1712957585144605,Low Risk,Low Value,General engagement
Male,1,No,No,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,Yes,Electronic check,74.75,2111.3,0,30,5,2111.3,3,0.17451180374786643,Low Risk,Medium Value,General engagement
Female,0,Yes,Yes,45,1,1,No,0,0,0,0,0,0,One year,Yes,Credit card (automatic),25.9,1216.6,0,45,2,1216.6,0,0.14262939175937517,Low Risk,Low Value,General engagement
Female,0,No,Yes,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,79.35,79.35,1,1,2,79.35,2,0.35477038502557107,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,No,Electronic check,50.55,565.35,0,11,3,565.35,2,0.13200609171270763,Low Risk,Low Value,General engagement
Female,0,Yes,No,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,7,2,496.9,2,0.2633516459792587,Medium Risk,Low Value,General engagement
Female,0,No,No,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,42,6,4327.5,1,0.36509622274760345,Medium Risk,Medium Value,General engagement
Female,0,Yes,No,49,1,0,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,49,1,973.35,0,0.06750572188314208,Low Risk,Low Value,General engagement
Male,0,No,No,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,9,5,918.75,3,0.3491067276261806,Medium Risk,Low Value,General engagement
Female,0,Yes,No,35,1,0,DSL,1,0,0,0,1,0,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,35,3,2215.45,0,0.2046159520979232,Medium Risk,Medium Value,General engagement
Female,0,Yes,Yes,48,1,0,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.65,1057.0,0,48,1,1057.0,0,0.07588178727856096,Low Risk,Low Value,General engagement
Female,0,Yes,Yes,46,1,0,No,0,0,0,0,0,0,Two year,Yes,Mailed check,19.95,927.1,0,46,1,927.1,0,0.07659312109726693,Low Risk,Low Value,General engagement
Male,0,Yes,No,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,No,Mailed check,33.75,1009.25,0,29,1,1009.25,2,0.1706274099274412,Low Risk,Low Value,General engagement
Male,0,Yes,Yes,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,30,3,2570.2,3,0.2679799729702341,Medium Risk,Medium Value,General engagement
Male,1,No,No,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,No,Electronic check,74.7,74.7,0,1,2,74.7,2,0.32783563009810335,Medium Risk,Low Value,General engagement
Male,0,Yes,Yes,66,1,1,DSL,1,0,1,1,1,1,Two year,Yes,Mailed check,84.0,5714.25,0,66,7,5714.25,1,0.05075496635989487,Low Risk,High Value,Reward: Loyalty perks / premium features
Female,0,No,No,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,65,7,7107.0,1,0.351881353665302,Medium Risk,High Value,Engage: Notifications + feature updates
Male,0,No,No,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,72,6,7459.05,1,0.14010283339662424,Low Risk,High Value,Reward: Loyalty perks / premium features
Female,0,No,No,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,Yes,Electronic check,78.95,927.35,1,12,3,927.35,2,0.26396886562390676,Medium Risk,Low Value,General engagement
Male,0,Yes,Yes,71,1,1,DSL,1,1,0,1,0,0,One year,Yes,Credit card (automatic),66.85,4748.7,0,71,5,4748.7,1,0.23472004176732636,Medium Risk,Medium Value,General engagement
Male,0,No,No,5,1,0,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,21.05,113.85,1,5,1,113.85,2,0.15651800483781264,Low Risk,Low Value,General engagement
Male,0,No,No,52,1,0,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),21.0,1107.2,0,52,1,1107.2,0,0.07486129919859814,Low Risk,Low Value,General engagement
Female,1,Yes,No,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,98.5,2514.5,1,25,5,2514.5,3,0.331851169925705,Medium Risk,Medium Value,General engagement
Male,0,No,No,1,1,0,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.2,20.2,0,1,1,20.2,2,0.20049318803807473,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,1,1,0,No,0,0,0,0,0,0,Month-to-month,No,Electronic check,19.45,19.45,0,1,1,19.45,2,0.18705284388349064,Low Risk,Low Value,General engagement
Male,0,No,No,38,1,1,Fiber optic,0,0,1,1,1,0,One year,No,Bank transfer (automatic),95.0,3605.6,0,38,5,3605.6,3,0.3706948816098755,Medium Risk,Medium Value,General engagement
Female,1,Yes,No,66,0,0,DSL,0,1,1,0,1,0,One year,No,Bank transfer (automatic),45.55,3027.25,0,66,3,3027.25,0,0.17724916221652415,Low Risk,Medium Value,General engagement
Male,0,Yes,No,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,68,7,7611.85,1,0.15018873719494052,Low Risk,High Value,Reward: Loyalty perks / premium features
Male,0,No,No,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,24.3,100.2,0,5,0,100.2,2,0.18996843997693713,Low Risk,Low Value,General engagement
Female,0,Yes,Yes,72,1,1,Fiber optic,1,1,0,0,1,1,One year,Yes,Electronic check,104.15,7303.05,0,72,6,7303.05,1,0.3239622821907318,Medium Risk,High Value,Engage: Notifications + feature updates
Female,0,No,No,32,0,0,DSL,1,0,0,0,0,0,One year,No,Mailed check,30.15,927.65,0,32,1,927.65,2,0.19399995711422613,Low Risk,Low Value,General engagement
Male,0,No,No,43,1,1,Fiber optic,0,0,0,0,1,1,One year,No,Mailed check,94.35,3921.3,0,43,4,3921.3,3,0.37293120996847295,Medium Risk,Medium Value,General engagement
Male,0,Yes,Yes,72,1,0,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),19.4,1363.25,0,72,1,1363.25,0,0.07287613522488494,Low Risk,Low Value,General engagement
Male,0,Yes,No,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,Yes,Electronic check,96.75,5238.9,1,55,5,5238.9,1,0.28245517868786063,Medium Risk,High Value,Engage: Notifications + feature updates
Female,0,No,No,52,1,0,DSL,1,0,1,1,0,0,One year,No,Credit card (automatic),57.95,3042.25,0,52,4,3042.25,0,0.25765027595774176,Medium Risk,Medium Value,General engagement
Female,0,No,No,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,Yes,Electronic check,91.65,3954.1,0,43,4,3954.1,3,0.34177558655126355,Medium Risk,Medium Value,General engagement
Female,1,Yes,No,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,76.5,2868.15,1,37,2,2868.15,0,0.29272343762045,Medium Risk,Medium Value,General engagement
Female,0,Yes,Yes,64,0,0,DSL,0,1,0,1,1,1,Two year,Yes,Electronic check,54.6,3423.5,0,64,4,3423.5,0,0.08496808037538381,Low Risk,Medium Value,General engagement
Male,0,Yes,Yes,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,No,Electronic check,89.85,248.4,0,3,4,248.4,3,0.26185555832821295,Medium Risk,Low Value,General engagement
Female,0,No,No,36,0,0,DSL,1,0,0,0,0,0,Two year,No,Bank transfer (automatic),31.05,1126.35,0,36,1,1126.35,0,0.0560960668536067,Low Risk,Low Value,General engagement
Female,0,Yes,Yes,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,Yes,Electronic check,100.25,1064.65,1,10,5,1064.65,3,0.19154523957582423,Low Risk,Low Value,General engagement
Female,0,No,No,41,1,0,No,0,0,0,0,0,0,Two year,No,Mailed check,20.65,835.15,0,41,1,835.15,0,0.06986129919859814,Low Risk,Low Value,General engagement
Male,0,Yes,Yes,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,27,4,2151.6,3,0.28483891687193175,Medium Risk,Medium Value,General engagement
Female,0,Yes,Yes,56,1,1,Fiber optic,0,0,1,0,1,1,One year,Yes,Credit card (automatic),99.8,5515.45,0,56,5,5515.45,1,0.3460490796406684,Medium Risk,High Value,Engage: Notifications + feature updates
Female,0,No,No,6,1,0,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.7,112.75,0,6,1,112.75,2,0.15651800483781264,Low Risk,Low Value,General engagement
Male,0,No,No,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,74.4,229.55,1,3,2,229.55,2,0.3115144060964449,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,50.7,350.35,0,7,2,350.35,2,0.16405594993154377,Low Risk,Low Value,General engagement
Female,0,Yes,Yes,4,1,0,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.85,62.9,0,4,1,62.9,2,0.12522422050120177,Low Risk,Low Value,General engagement
Male,0,No,No,33,1,0,Fiber optic,1,0,0,1,1,0,Two year,Yes,Electronic check,88.95,3027.65,0,33,4,3027.65,3,0.13141509029718218,Low Risk,Medium Value,General engagement
Female,1,No,No,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Electronic check,78.05,2135.5,1,27,3,2135.5,3,0.3267384636804016,Medium Risk,Medium Value,General engagement
Male,0,Yes,No,72,1,1,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,72,2,1723.95,0,0.060815709436682415,Low Risk,Low Value,General engagement
Male,0,No,No,1,1,0,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,19.75,19.75,0,1,1,19.75,2,0.20049318803807473,Medium Risk,Low Value,General engagement
Male,1,No,No,71,0,0,DSL,1,1,0,0,1,1,One year,Yes,Electronic check,56.45,3985.35,0,71,4,3985.35,1,0.2360879732468699,Medium Risk,Medium Value,General engagement
Female,0,No,No,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,85.95,1215.65,0,13,3,1215.65,2,0.3087279855837723,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,25,5,1502.65,3,0.17352370347824866,Low Risk,Low Value,General engagement
Male,0,No,No,67,1,0,DSL,0,0,0,1,0,0,Two year,No,Bank transfer (automatic),50.55,3260.1,0,67,2,3260.1,0,0.07524934913791345,Low Risk,Medium Value,General engagement
Male,0,No,No,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,35.45,35.45,1,1,1,35.45,2,0.2320768791338409,Medium Risk,Low Value,General engagement
Male,0,No,No,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,No,Electronic check,44.35,81.25,1,2,1,81.25,2,0.16670944521990072,Low Risk,Low Value,General engagement
Female,0,No,No,43,1,1,No,0,0,0,0,0,0,Two year,Yes,Credit card (automatic),25.7,1188.2,0,43,2,1188.2,0,0.0678375356537226,Low Risk,Low Value,General engagement
Female,0,No,No,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,23,2,1778.5,2,0.2735343124485009,Medium Risk,Low Value,General engagement
Female,0,Yes,Yes,64,1,0,No,0,0,0,0,0,0,Two year,No,Mailed check,20.2,1277.75,0,64,1,1277.75,0,0.07659312109726693,Low Risk,Low Value,General engagement
Male,0,No,Yes,57,1,0,No,0,0,0,0,0,0,Two year,Yes,Mailed check,19.6,1170.55,0,57,1,1170.55,0,0.078948698412723,Low Risk,Low Value,General engagement
